id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35056243,十三条命,,https://dou.img.lithub.cc/movie/35056243.jpg,2022-07-29(美国),https://movie.douban.com/subject/35056243/,8.5,"剧情,惊悚,传记",4,,,2022-08-22 19:57:40,2022 / 美国 加拿大 英国 / 剧情 惊悚 传记 / 朗·霍华德 / 维果·莫腾森 科林·法瑞尔
35042913,西部世界 第四季,,https://dou.img.lithub.cc/movie/35042913.jpg,2022-06-26(美国),https://movie.douban.com/subject/35042913/,7.8,"剧情,科幻,悬疑",5,等最后一集,,2022-08-08 22:58:10,2022 / 美国 / 剧情 科幻 悬疑 / 克雷格·麦克尼尔 理查德·J·刘易斯 保罗·卡梅隆 汉内尔 M.卡普珀 蜜拉·梅农 安德鲁·塞克利尔 / 埃文·蕾切尔·伍德 坦迪·牛顿
35882880,宿敌,,https://dou.img.lithub.cc/movie/35882880.jpg,2022-04-28(印度),https://movie.douban.com/subject/35882880/,8.6,剧情,4,,,2022-08-05 22:12:27,2022 / 印度 / 剧情 / Dijo Jose Antony / 普利特维拉吉·苏库玛兰 玛玛塔·莫汉达斯
35374060,救命卡特,,https://dou.img.lithub.cc/movie/35374060.jpg,2022-08-05(韩国网络),https://movie.douban.com/subject/35374060/,5.5,"动作,惊悚",1,要吐，生理的吐,,2022-08-05 22:03:54,2022 / 韩国 / 动作 惊悚 / 郑秉吉 / 周元 李成宰
35524221,绝命空间站,,https://dou.img.lithub.cc/movie/35524221.jpg,2022-07-01(美国),https://movie.douban.com/subject/35524221/,4.7,"科幻,惊悚",1,什么？,,2022-08-05 21:55:13,2022 / 奥地利 / 科幻 惊悚 / Magdalena Lauritsch / Julia Franz Richter 乔治·布莱顿
34603375,史前星球 第一季,,https://dou.img.lithub.cc/movie/34603375.jpg,2022-05-23(美国),https://movie.douban.com/subject/34603375/,9.3,"动画,纪录片,历史",5,好看之后的无限崇敬！,,2022-08-05 16:15:11,2022 / 美国 英国 / 动画 纪录片 历史 / 亚当·瓦德兹 安德鲁·R·琼斯 / 大卫·爱登堡
30443443,生化危机,,https://dou.img.lithub.cc/movie/30443443.jpg,2022-07-14(美国),https://movie.douban.com/subject/30443443/,4.3,"动作,科幻,惊悚",1,这是啥？,,2022-08-01 20:22:41,2022 / 美国 / 动作 科幻 惊悚 恐怖 / 蕾切尔·高德伯格 布朗温·休斯 罗布·西登格兰茨 巴坦·席尔瓦 / 埃拉·巴林斯卡 兰斯·莱迪克
30155209,双重幻想,,https://dou.img.lithub.cc/movie/30155209.jpg,2018-06-16(日本),https://movie.douban.com/subject/30155209/,7.7,剧情,4,代入感强,,2022-08-01 20:21:56,2018 / 日本 / 剧情 / 御法川修 / 水川麻美 田中圭
1309059,艺伎回忆录,,https://dou.img.lithub.cc/movie/1309059.jpg,2005-12-10(日本),https://movie.douban.com/subject/1309059/,7.6,"剧情,爱情",3,小白合,,2022-07-20 09:07:59,2005 / 美国 / 剧情 爱情 / 罗伯·马歇尔 / 章子怡 渡边谦
34850561,咒,,https://dou.img.lithub.cc/movie/34850561.jpg,2022-03-18(中国台湾),https://movie.douban.com/subject/34850561/,6.9,恐怖,2,黑底白色后的纯白高亮，眼瞎！,,2022-07-09 11:24:06,2022 / 中国台湾 / 恐怖 / 柯孟融 / 蔡亘晏 黄歆庭
34963448,终极名单 第一季,,https://dou.img.lithub.cc/movie/34963448.jpg,2022-07-01(美国),https://movie.douban.com/subject/34963448/,8.3,"动作,惊悚",5,赤果果的打工仔复仇记,,2022-07-07 19:48:03,2022 / 美国 / 动作 惊悚 / 弗雷德·托耶 西尔维恩·怀特 迈克尔·巴塞特 安东尼·福奎阿 / 克里斯·帕拉特 吴恬敏
